,joystick,executed
0,"[0.0, -0.0]",[-0.0004741623997688]
1,"[0.0, 0.0]",[-0.0004741623997688]
2,"[0.0, 0.0]",[-0.0004741623997688]
3,"[0.0, 0.0]",[-0.0004741623997688]
4,"[0.0, 0.0]",[-0.0004741623997688]
5,"[0.0, 0.0]",[-0.0004741623997688]
6,"[0.0, 0.0]",[-0.0004741623997688]
7,"[0.0, 0.0]",[-0.0004741623997688]
8,"[0.0, 0.0]",[-0.0004741623997688]
9,"[0.0, 0.0]",[-0.0004741623997688]
10,"[0.0, 0.0]",[-0.0004741623997688]
11,"[0.0, 0.0]",[-0.0004741623997688]
12,"[0.0, 0.0]",[-0.0004741623997688]
13,"[0.0, 0.0]",[-0.0004741623997688]
14,"[0.0, 0.0]",[-0.0004741623997688]
15,"[0.0, 0.0]",[-0.0004741623997688]
16,"[0.0, 0.0]",[-0.0004741623997688]
17,"[0.0, 0.0]",[-0.0004741623997688]
18,"[0.0, 0.0]",[-0.0004741623997688]
19,"[0.0, 0.0]",[-0.0004741623997688]
20,"[0.0, 0.0]",[-0.0004741623997688]
21,"[0.0, 0.0]",[-0.0004741623997688]
22,"[0.0, 0.0]",[-0.0004741623997688]
23,"[0.0, 0.0]",[-0.0004741623997688]
24,"[0.23728113819246952, 0.0]",[0.00018155611857722484]
25,"[0.7043596178620388, 0.0]",[-0.0004585011421110601]
26,"[1.0, 0.0]",[-0.0002457876916605859]
27,"[1.0, 0.0]",[-0.0010651740356126557]
28,"[1.0, -0.40846217399225393]",[-0.0004721059918566846]
29,"[1.0, -0.7880923494476428]",[-0.0002998350570573013]
30,"[1.0, -0.7880923494476428]",[-4.270147899359392e-05]
31,"[1.0, -0.7880923494476428]",[0.00027132610041177884]
32,"[1.0, -0.7880923494476428]",[-0.000291557997438355]
33,"[1.0, -0.7880923494476428]",[0.02149115736573605]
34,"[1.0, -0.7880923494476428]",[0.1901906165776577]
35,"[1.0, -0.7880923494476428]",[0.026910631314262468]
36,"[1.0, -0.7880923494476428]",[0.06558862660916195]
37,"[1.0, -0.6190612639544775]",[0.017152458553580444]
38,"[1.0, 0.0]",[0.025902938427383372]
39,"[1.0, 0.0]",[0.017160639863624757]
40,"[1.0, 0.0]",[0.08538194643805394]
41,"[1.0, 0.0]",[0.13387617432263202]
42,"[1.0, 0.0]",[0.453827463417945]
43,"[1.0, 0.0]",[0.674708172975198]
44,"[1.0, 0.0]",[0.7797539756323878]
45,"[1.0, 0.0]",[0.9155460132352092]
46,"[1.0, 0.0]",[0.9865612617555735]
47,"[1.0, 0.0]",[1.07412274924571]
48,"[1.0, 0.0]",[1.1329491422282196]
49,"[1.0, 0.0]",[1.1498478752460966]
50,"[1.0, 0.0]",[1.1847135181390527]
51,"[1.0, 0.0]",[1.1654245548435336]
52,"[1.0, 0.0]",[1.154826838985879]
53,"[1.0, 0.0]",[1.1149639990718085]
54,"[1.0, 0.0]",[1.1031321614538865]
55,"[1.0, 0.0]",[1.0925643033801622]
56,"[1.0, 0.0]",[1.0441734377495924]
57,"[1.0, 0.0]",[0.5178791726765126]
58,"[1.0, 0.0]",[-0.1850888458177525]
59,"[1.0, 0.0]",[-0.7378009292941963]
60,"[1.0, 0.0]",[-0.8699450517005304]
61,"[1.0, 0.0]",[-0.8778707544199388]
62,"[1.0, 0.0]",[-0.903798286541777]
63,"[1.0, 0.05070267957967403]",[-0.9018706747728734]
64,"[1.0, 0.29680787401249875]",[-0.8986259311050289]
65,"[1.0, 0.7880923494476428]",[-0.8964635735588493]
66,"[1.0, 0.7880923494476428]",[-0.8513595055855359]
67,"[1.0, 0.7880923494476428]",[-0.453754767838615]
68,"[1.0, 0.7880923494476428]",[0.23026529314966118]
69,"[1.0, 0.7880923494476428]",[0.7245631175460905]
70,"[1.0, 0.7880923494476428]",[0.8874809527547689]
71,"[1.0, 0.7880923494476428]",[0.9018872700240151]
72,"[1.0, 0.7880923494476428]",[0.9199396494086833]
73,"[1.0, 0.7880923494476428]",[0.9304590731184946]
74,"[1.0, 0.3064314685540411]",[0.929071235520271]
75,"[1.0, 0.0]",[0.9277746057817448]
76,"[1.0, 0.0]",[0.9569553409298277]
77,"[1.0, 0.0]",[0.9450013947830602]
78,"[1.0, 0.0]",[1.010036784430827]
79,"[1.0, 0.4826578539040736]",[1.1873615608249761]
80,"[1.0, 0.7880923494476428]",[1.178476406462963]
81,"[1.012129587203731, 0.7976515843248614]",[1.2908439475870255]
82,"[1.391762752646784, 1.0968375776071224]",[1.4431940156164171]
83,"[1.9218133433283389, 1.3884995803285782]",[1.524306271075432]
84,"[2.351971230158732, 0.0]",[1.382387464394362]
85,"[2.8255610255098778, 0.0]",[1.3186626967701975]
86,"[3.2745880847269935, 0.0]",[1.2290915249597198]
87,"[3.7265232893123064, 0.0]",[1.2745851972147584]
88,"[4.128516461070764, 0.0]",[1.3897958700119777]
89,"[4.219686714368594, 0.0]",[1.4228698007911544]
90,"[4.219686714368594, 0.0]",[1.5301772909285423]
91,"[4.219686714368594, 0.0]",[1.1482631318069685]
92,"[4.219686714368594, 0.0]",[0.38500593509831876]
93,"[4.219686714368594, 0.0]",[-0.624768762580144]
